device_id,timestamp,ax,ay,az,azimuth,pitch,roll,lat,lon,speed
bike_v1,1763574045763,1.36948,5.03501,7.65905,-112.99258,-17.32359,7.35078,22.59609,88.43366,0
bike_v1,1763574045784,1.26653,5.70778,2.99036,-107.12201,-32.90808,10.13769,22.59609,88.43366,0
bike_v1,1763574045804,-0.91219,5.81552,10.14663,-110.82096,-60.36172,22.95454,22.59609,88.43366,0
bike_v1,1763574045823,4.98952,5.55455,12.47618,-80.19317,-29.7197,-5.13713,22.59609,88.43366,0
bike_v1,1763574045847,2.26491,5.79636,4.74291,-134.14352,-22.45923,21.79762,22.59609,88.43366,0
bike_v1,1763574045863,0.15802,6.00466,-0.16759,-118.10349,-47.79927,25.52618,22.59609,88.43366,0
bike_v1,1763574045883,1.55384,3.69425,8.18338,-116.25817,-87.80322,43.31532,22.59609,88.43366,0
bike_v1,1763574045904,3.30639,7.5561,10.27591,-114.20422,-23.91774,10.75117,22.59609,88.43366,0
bike_v1,1763574045930,2.59292,7.82665,1.51314,-117.00943,-34.99123,17.83617,22.59609,88.43366,0
bike_v1,1763574045946,0.19872,3.2609,8.74362,-130.87708,-69.01424,59.7337,22.59609,88.43366,0
bike_v1,1763574045964,2.12605,6.4811,11.81299,-93.64319,-20.44797,1.30195,22.59609,88.43366,0
bike_v1,1763574045983,1.70228,4.61602,10.0772,-109.78153,-28.36757,10.20262,22.59609,88.43366,0
bike_v1,1763574046003,3.80678,7.48188,6.13634,-111.52707,-24.30713,9.5881,22.59609,88.43366,0
bike_v1,1763574046023,-0.49321,3.71101,3.67271,-124.65906,-46.01559,31.81409,22.59609,88.43366,0
bike_v1,1763574046047,0.10295,7.91044,10.24718,-80.36253,-45.04124,-7.64846,22.59609,88.43366,0
bike_v1,1763574046063,3.77805,4.55377,8.94474,-90.87555,-37.66541,0.57562,22.59609,88.43366,0
bike_v1,1763574046082,3.24175,6.18901,5.51145,-132.34412,-25.12576,22.89807,22.59609,88.43366,0
bike_v1,1763574046103,-0.28012,7.15627,3.98395,-124.65656,-44.06604,30.46337,22.59609,88.43366,0
bike_v1,1763574046123,0.97444,7.85059,3.12204,-86.2175,-60.83488,-4.02199,22.59609,88.43366,0
bike_v1,1763574046148,0.86191,4.30717,20.01792,-104.42626,-67.38326,17.33401,22.59609,88.43366,0
bike_v1,1763574046163,1.99916,7.68778,10.25197,-101.48717,-12.13205,2.46546,22.59609,88.43366,0
bike_v1,1763574046183,2.98796,5.44681,4.2952,-106.88443,-36.35381,11.03434,22.59609,88.43366,0
bike_v1,1763574046203,0.10056,9.30626,2.31998,-127.03743,-46.15089,34.82449,22.59609,88.43366,0
bike_v1,1763574046223,-0.85234,1.62566,9.55765,-91.87065,-75.98929,2.48185,22.59609,88.43366,0
bike_v1,1763574046248,4.69264,6.25126,15.64132,-62.07744,-9.61563,-5.09606,22.59609,88.43366,0
bike_v1,1763574046263,1.43173,5.6168,-0.24421,-128.56346,-20.94717,16.70005,22.59609,88.43366,0
bike_v1,1763574046283,-1.44849,4.69982,9.35175,-136.77118,-75.50184,80.3203,22.59609,88.43366,0
bike_v1,1763574046303,4.18746,8.22169,10.6135,-71.56312,-26.41075,-8.80457,22.59609,88.43366,0
bike_v1,1763574046682,1.52271,8.67659,6.03099,-151.62764,-4.29239,7.94777,22.59609,88.43366,0
bike_v1,1763574046702,-0.17717,5.85861,5.92565,-104.60928,-54.36324,14.16996,22.59609,88.43366,0
bike_v1,1763574046725,1.71664,5.46357,11.16895,-87.80402,-44.66125,-1.71258,22.59609,88.43366,0
bike_v1,1763574046742,0.77812,4.86741,3.03345,-108.70759,-25.80363,8.73786,22.59609,88.43366,0
bike_v1,1763574046762,0.79248,6.99825,3.90973,-104.10789,-57.24303,14.38684,22.59609,88.43366,0
bike_v1,1763574046783,1.25696,5.09965,8.51378,-100.75647,-60.31541,11.4583,22.59609,88.43366,0
bike_v1,1763574046803,3.61524,5.84664,13.07474,-105.32366,-30.64948,8.39835,22.59609,88.43366,0
bike_v1,1763574046822,0.91459,6.24887,6.94079,-123.54092,-23.31595,15.45645,22.59609,88.43366,0
bike_v1,1763574046847,0.84755,6.70855,2.6432,-100.19234,-41.75194,7.50659,22.59609,88.43366,0
bike_v1,1763574046864,-0.249,4.20422,2.78924,-104.7512,-67.52198,17.77856,22.59609,88.43366,0
bike_v1,1763574046882,0.46448,5.43484,12.55998,-84.82566,-56.33329,-5.10129,22.59609,88.43366,0
bike_v1,1763574046903,1.98,4.81953,7.90805,-95.17502,-23.38438,2.11786,22.59609,88.43366,0
bike_v1,1763574046922,2.77488,4.56574,13.92228,-114.6786,-30.59145,14.05665,22.59609,88.43366,0
bike_v1,1763574046947,0.67038,5.15711,7.93917,-122.30262,-17.82878,11.27203,22.59609,88.43366,0
bike_v1,1763574046963,1.69988,6.07409,2.80122,-98.34248,-32.91394,4.82655,22.59609,88.43366,0
bike_v1,1763574046981,-0.56503,6.55293,6.23211,-116.8788,-61.65552,31.25095,22.59609,88.43366,0
bike_v1,1763574047002,1.98,3.75171,10.71884,-83.61847,-46.32033,-5.18054,22.59609,88.43366,0
bike_v1,1763574047021,0.65122,5.79397,13.35007,-118.85649,-18.99286,10.46581,22.59609,88.43366,0
bike_v1,1763574047049,0.11732,6.05733,12.05481,-96.79546,-23.43613,2.7927,22.59609,88.43366,0
bike_v1,1763574047064,3.92649,5.33428,7.46512,-91.19734,-26.67764,0.55758,22.59609,88.43366,0
bike_v1,1763574047081,0.90261,5.66229,-4.4197,-130.65154,-32.30991,27.74339,22.59609,88.43366,0
bike_v1,1763574047102,0.7422,2.60489,2.2314,-102.64296,-51.45703,11.54253,22.59609,88.43366,0
bike_v1,1763574047121,2.32477,5.9448,14.97334,-111.00122,-47.92552,18.39806,22.59609,88.43366,0
bike_v1,1763574047146,3.54581,4.88896,10.68532,-112.39102,-21.42134,8.82531,22.59609,88.43366,0
bike_v1,1763574047164,1.02472,6.9384,5.96635,-128.02831,-23.47311,18.35789,22.59609,88.43366,0
bike_v1,1763574047181,1.98719,4.35745,5.35822,-101.27201,-48.89549,9.74545,22.59609,88.43366,0
bike_v1,1763574047202,-0.07183,5.33668,8.00861,-118.59768,-37.32474,20.34815,22.59609,88.43366,0
bike_v1,1763574047221,0.35913,6.22971,10.37408,-89.12584,-33.67714,-0.51385,22.59609,88.43366,0
bike_v1,1763574047248,1.02472,5.72693,3.45244,-93.66303,-30.97,1.98268,22.59609,88.43366,0
bike_v1,1763574047264,0.1221,4.96318,0.42377,-105.95145,-57.83682,16.53141,22.59609,88.43366,0
bike_v1,1763574047281,1.97282,3.54821,11.42992,-100.71783,-84.92217,16.07357,22.59609,88.43366,0
bike_v1,1763574047301,1.13485,5.1619,11.70525,-119.93054,-17.00931,9.79286,22.59609,88.43366,0
bike_v1,1763574047321,3.44286,7.53216,15.70596,-103.15253,-23.69821,5.53765,22.59609,88.43366,0
bike_v1,1763574047800,0.38068,2.08535,12.58632,-172.40523,-0.09473,0.71044,22.59609,88.43366,0
bike_v1,1763574047821,0.28012,0.79009,5.94001,-100.43876,-9.40331,1.7324,22.59609,88.43366,0
bike_v1,1763574047843,1.64242,-0.15323,5.11641,-109.63406,-7.56818,2.69998,22.59609,88.43366,0
bike_v1,1763574047860,0.72784,3.27287,7.50822,174.75629,1.63336,17.79719,22.59609,88.43366,0
bike_v1,1763574047880,6.33506,15.51203,8.57364,-103.28249,-23.45467,5.53688,22.59609,88.43366,0
bike_v1,1763574047901,2.83473,7.27119,-0.08859,-123.3018,-55.50229,36.46069,22.59609,88.43366,0
bike_v1,1763574047920,0.46926,8.26957,6.13634,-142.09106,-68.69179,88.21009,22.59609,88.43366,0
bike_v1,1763574047940,-1.76932,2.91614,17.20713,-94.68661,-53.3432,4.37306,22.59609,88.43366,0
bike_v1,1763574047963,0.82839,1.54426,11.12586,-58.47047,-9.56917,-5.87078,22.59609,88.43366,0
bike_v1,1763574047980,4.05338,3.84988,9.23444,-118.38412,-7.88058,4.25819,22.59609,88.43366,0
bike_v1,1763574048000,3.23696,3.27527,14.90391,-138.59862,-20.89423,23.6987,22.59609,88.43366,0
bike_v1,1763574048019,1.87466,4.01747,11.88003,-135.31352,-12.12032,12.25369,22.59609,88.43366,0
bike_v1,1763574048039,2.61207,4.56814,2.6408,-115.89535,-18.47122,8.96729,22.59609,88.43366,0
bike_v1,1763574048059,1.64482,7.50103,7.94396,-131.2892,-50.88507,44.68663,22.59609,88.43366,0
bike_v1,1763574048079,1.56341,6.2752,7.19218,-105.30103,-42.75745,11.69793,22.59609,88.43366,0
bike_v1,1763574048099,2.78446,7.33823,4.51546,-106.86646,-40.45065,12.26398,22.59609,88.43366,0
bike_v1,1763574048119,2.48279,5.93523,3.90734,-120.32009,-54.13603,31.66002,22.59609,88.43366,0
bike_v1,1763574048140,1.05824,7.92002,9.65821,-121.92912,-52.04611,32.43256,22.59609,88.43366,0
bike_v1,1763574048161,2.17154,5.82749,11.2743,-99.06638,-39.18524,6.25288,22.59609,88.43366,0
bike_v1,1763574048180,2.55461,5.17626,4.72376,-112.0545,-26.91023,10.90222,22.59609,88.43366,0
bike_v1,1763574048200,1.51074,4.02465,6.84502,-122.87662,-43.94608,28.40456,22.59609,88.43366,0
bike_v1,1763574048219,2.43251,7.29992,7.21373,-112.62542,-29.8623,12.44602,22.59609,88.43366,0
bike_v1,1763574048239,1.80283,3.18668,8.65983,-113.0479,-43.798,18.63438,22.59609,88.43366,0
bike_v1,1763574048264,2.82995,7.35499,5.71496,-120.69254,-19.81209,11.76007,22.59609,88.43366,0
bike_v1,1763574048281,0.09816,3.61764,4.48913,-118.22839,-49.07259,26.3438,22.59609,88.43366,0
bike_v1,1763574048300,1.52032,7.28077,12.69885,-91.84644,-38.8575,1.25267,22.59609,88.43366,0
bike_v1,1763574048320,3.19387,4.09408,11.65976,-102.96579,-29.65181,6.82701,22.59609,88.43366,0
bike_v1,1763574048779,-1.3216,4.11084,5.50188,-96.37392,-65.76841,7.3468,22.59427,88.43325,0
bike_v1,1763574048799,2.86586,7.19458,5.14993,-69.4334,-35.99861,-13.50705,22.59427,88.43325,0
bike_v1,1763574048819,1.79086,5.6575,5.66708,-119.86179,-50.67645,29.0953,22.59427,88.43325,0
bike_v1,1763574048839,0.21069,6.05254,6.65349,-111.91653,-43.58868,17.53715,22.59427,88.43325,0
bike_v1,1763574048859,0.41899,3.69425,9.38766,-92.45649,-42.27786,1.81373,22.59427,88.43325,0
bike_v1,1763574048879,3.14119,6.87136,7.60877,-96.7905,-21.4613,2.5555,22.59427,88.43325,0
bike_v1,1763574048899,1.38385,5.67665,5.92325,-119.37438,-39.8533,22.43271,22.59427,88.43325,0
bike_v1,1763574048918,0.96726,6.80672,5.51624,-106.99629,-43.02209,13.15013,22.59427,88.43325,0
bike_v1,1763574048939,0.14126,4.86741,7.78355,-101.12989,-50.55327,9.94555,22.59427,88.43325,0
